dataset,family,pipeline,pipeline_id,rep_index,algorithm,t_total,t_build,t_config,t_cpgm,t_classify,t_context,t_score_ip,t_score_if,t_score_ir,t_report,ip_score,ip_passed,ip_total,ip_full,ip_none,if_score,if_passed,if_total,if_scored_1,if_scored_0,if_undefined,if_undefined_rate,ir_score,ir_passed,ir_total,ir_full,ir_partial,ir_local,fairness_passed
bsbm_10k,rdf2pg,gdm,20260703T131256Z,2,rdf2pg_gdm,12.34585,0.94482,0.00196,9.03699,0.38626,0.94483,0.0072,0.06889,0.04333,1.85545,0.95122,True,10250,9750,500,0.08157,False,14313,1086,12227,1000,0.06987,1.0,True,17271,17271,0,0,False
bsbm_10k,kg2pg,nonparsi,20260703T131423Z,0,kg2pg,12.49073,0.80964,0.00207,9.17108,0.58262,0.80966,0.00584,0.30001,0.05761,1.56101,1.0,True,10250,10250,0,0.29833,False,14313,4270,10043,0,0.0,0.76707,False,23252,17836,0,5416,False
bsbm_10k,kg2pg,nonparsi,20260703T131423Z,1,kg2pg,12.904,0.79377,0.002,9.44427,0.58872,0.79378,0.00598,0.30941,0.06523,1.69374,1.0,True,10250,10250,0,0.29833,False,14313,4270,10043,0,0.0,0.76707,False,23252,17836,0,5416,False
bsbm_10k,kg2pg,nonparsi,20260703T131423Z,2,kg2pg,12.26959,0.81311,0.00201,8.92719,0.62567,0.81312,0.00603,0.3017,0.06316,1.52982,1.0,True,10250,10250,0,0.29833,False,14313,4270,10043,0,0.0,0.76707,False,23252,17836,0,5416,False
bsbm_10k,kg2pg,parsi,20260703T131355Z,0,kg2pg,6.85706,0.74562,0.00196,3.95016,0.44424,0.74563,0.00611,0.06095,0.1505,1.49669,1.0,True,10250,10250,0,0.77859,False,14313,11144,3169,0,0.0,0.96274,True,13420,12920,0,500,False
bsbm_10k,kg2pg,parsi,20260703T131355Z,1,kg2pg,7.59209,0.74508,0.00515,4.36145,0.43929,0.74509,0.00622,0.05656,0.15136,1.44558,1.0,True,10250,10250,0,0.77859,False,14313,11144,3169,0,0.0,0.96274,True,13420,12920,0,500,False
bsbm_10k,kg2pg,parsi,20260703T131355Z,2,kg2pg,6.78423,0.8456,0.00194,3.82334,0.46381,0.84561,0.00748,0.05309,0.14663,1.4415,1.0,True,10250,10250,0,0.77859,False,14313,11144,3169,0,0.0,0.96274,True,13420,12920,0,500,False
bsbm_10k,rdf2pg,sdm,20260703T131239Z,0,rdf2pg_sdm,4.91891,0.4614,0.0018,2.32098,0.46254,0.46141,0.01386,0.11239,0.02072,1.52437,0.0,False,10250,0,10250,0.99645,True,14313,1966,7,12340,0.86215,0.0,False,10250,0,0,10250,False
bsbm_10k,rdf2pg,sdm,20260703T131239Z,1,rdf2pg_sdm,4.55252,0.45682,0.00177,2.12415,0.40249,0.45684,0.01399,0.11196,0.01939,1.42117,0.0,False,10250,0,10250,0.99645,True,14313,1966,7,12340,0.86215,0.0,False,10250,0,0,10250,False
bsbm_10k,rdf2pg,sdm,20260703T131239Z,2,rdf2pg_sdm,5.0392,0.45862,0.00178,2.27687,0.42146,0.45863,0.01879,0.12797,0.03222,1.58157,0.0,False,10250,0,10250,0.99645,True,14313,1966,7,12340,0.86215,0.0,False,10250,0,0,10250,False
bsbm_1k,rdf2pg,cdm,20260703T131203Z,0,rdf2pg_cdm,1.7202,0.08353,0.00181,0.43071,0.07921,0.08354,0.00406,0.00991,0.00468,1.10553,0.98915,True,1844,1824,20,0.87547,False,2971,2566,365,40,0.01346,0.5811,False,2201,357,1844,0,False
bsbm_1k,rdf2pg,cdm,20260703T131203Z,1,rdf2pg_cdm,1.70379,0.08034,0.00362,0.40075,0.07834,0.08035,0.00227,0.00904,0.00409,1.12471,0.98915,True,1844,1824,20,0.87547,False,2971,2566,365,40,0.01346,0.5811,False,2201,357,1844,0,False
bsbm_1k,rdf2pg,cdm,20260703T131203Z,2,rdf2pg_cdm,1.87245,0.11177,0.00185,0.46041,0.09445,0.11178,0.00365,0.01195,0.00579,1.18164,0.98915,True,1844,1824,20,0.87547,False,2971,2566,365,40,0.01346,0.5811,False,2201,357,1844,0,False
bsbm_1k,rdf2pg,gdm,20260703T131152Z,0,rdf2pg_gdm,3.18401,0.09448,0.00206,1.79524,0.09504,0.09449,0.00084,0.01465,0.00847,1.17254,0.98915,True,1844,1824,20,0.11259,False,2971,330,2601,40,0.01346,1.0,True,3279,3279,0,0,False
bsbm_1k,rdf2pg,gdm,20260703T131152Z,1,rdf2pg_gdm,3.41175,0.098,0.00204,1.83838,0.09559,0.09801,0.001,0.01274,0.00851,1.35464,0.98915,True,1844,1824,20,0.11259,False,2971,330,2601,40,0.01346,1.0,True,3279,3279,0,0,False
bsbm_1k,rdf2pg,gdm,20260703T131152Z,2,rdf2pg_gdm,3.03114,0.09302,0.00195,1.62293,0.09418,0.09303,0.00106,0.01209,0.00784,1.19739,0.98915,True,1844,1824,20,0.11259,False,2971,330,2601,40,0.01346,1.0,True,3279,3279,0,0,False
bsbm_1k,kg2pg,nonparsi,20260703T131223Z,0,kg2pg,3.51389,0.14736,0.00194,1.83782,0.16415,0.14738,0.00135,0.08667,0.01518,1.25528,1.0,True,1844,1844,0,0.25379,False,2971,754,2217,0,0.0,0.77009,False,4654,3584,0,1070,False
bsbm_1k,kg2pg,nonparsi,20260703T131223Z,1,kg2pg,3.25214,0.10114,0.00274,1.82927,0.10135,0.10115,0.00104,0.06417,0.01238,1.13931,1.0,True,1844,1844,0,0.25379,False,2971,754,2217,0,0.0,0.77009,False,4654,3584,0,1070,False
